date,factor,horizon,sample_size,ic,rank_ic
2020-03-10,reversal_5,5,2729,0.027427522580798207,-0.006844521952086179
2020-03-10,reversal_5,20,2712,0.03022465992547786,-0.0017188431625821047
2020-03-11,amihud_illiquidity_20,1,2741,-0.007195479298602587,-0.00039431644315956414
2020-03-11,amihud_illiquidity_20,5,2738,0.15224005265449925,0.19482561895868936
2020-03-11,amihud_illiquidity_20,20,2721,0.10095000027193061,0.15112646830390108
2020-03-11,amount_change_5_20,1,2741,0.016943705894424926,0.0074583154902316045
2020-03-11,amount_change_5_20,5,2738,0.018340333062648248,0.021866269579684593
2020-03-11,amount_change_5_20,20,2721,0.030159305985992382,0.0551542835185853
2020-03-11,low_volatility_20,1,2741,0.022595640995669065,0.07323853765171612
2020-03-11,low_volatility_20,5,2738,0.08448610969458803,0.14701474938908435
2020-03-11,low_volatility_20,20,2721,0.270836489680737,0.34110916959495585
2020-03-11,momentum_20,1,2741,0.02835338169972213,0.08552808272261239
2020-03-11,momentum_20,5,2738,-0.03440742970015319,-0.0005886136584312776
2020-03-11,momentum_20,20,2721,-0.11345136929501684,-0.09359273200286392
2020-03-11,momentum_60_skip_5,1,2682,-0.026369495631813254,0.0018139389131672926
2020-03-11,momentum_60_skip_5,5,2679,-0.0381535563358049,-0.026215110902383792
2020-03-11,momentum_60_skip_5,20,2665,-0.12852039888103173,-0.13396447702209516
2020-03-11,overnight_reversal_5,1,2745,-0.0053317484831068495,-0.05525313442878111
2020-03-11,overnight_reversal_5,5,2742,0.023945110671198918,-0.004698623211918299
2020-03-11,overnight_reversal_5,20,2725,0.017830076789727665,-0.03449993275744225
2020-03-11,reversal_5,1,2745,-0.007494656523817872,-0.021136476288380012
2020-03-11,reversal_5,5,2742,0.07078157754938784,0.056519950419956756
2020-03-11,reversal_5,20,2725,0.05266936286132808,0.006258538036058917
2020-03-12,amihud_illiquidity_20,1,2711,0.25315704281805157,0.2729642180138605
2020-03-12,amihud_illiquidity_20,5,2709,0.20601211480777448,0.2427991123653838
2020-03-12,amihud_illiquidity_20,20,2693,0.11379598871089112,0.15151663597519885
2020-03-12,amount_change_5_20,1,2712,0.13009040371048772,0.1395182916487419
