factor,horizon,sample_period,dates,mean_high_minus_low,std_high_minus_low,spread_ir,spread_t_stat,positive_spread_ratio,average_group_monotonicity
low_volatility_20,20,validation_2024,242,0.010040517520614961,0.07959497318907788,0.12614512095837646,1.9623575497518364,0.5743801652892562,0.12151713016429384
momentum_20,1,test_2025,243,-0.0014502115919988491,0.00918241887780211,-0.1579335043737375,-2.461939684134433,0.41975308641975306,-0.08662057998051961
momentum_20,1,train_2020_2023,970,-0.0008714088569218585,0.010066650775854865,-0.08656393038009785,-2.696018290287533,0.46494845360824744,-0.04458638442772643
momentum_20,1,validation_2024,242,-0.0016377478657074857,0.015750913853914632,-0.10397795841543825,-1.617517428768763,0.45041322314049587,-0.06044881558144124
momentum_20,5,test_2025,243,-0.0048131781617653255,0.019782979858564757,-0.24329894667923493,-3.792655233687835,0.43209876543209874,-0.09655845622179386
momentum_20,5,train_2020_2023,970,-0.002876772677051695,0.020727335100028117,-0.13879124659145367,-4.322628809705663,0.44948453608247424,-0.045029405268045754
momentum_20,5,validation_2024,242,-0.008695071542246495,0.03774672487023883,-0.23035300604588532,-3.583451798118528,0.35537190082644626,-0.1967625317254641
momentum_20,20,test_2025,242,-0.012220095615810852,0.0377734863040247,-0.32350986926268493,-5.032632491401195,0.41735537190082644,-0.13070709403034167
momentum_20,20,train_2020_2023,970,-0.010334315343851175,0.040136498189750215,-0.2574792473173527,-8.019145585106756,0.37422680412371134,-0.1439681495586948
momentum_20,20,validation_2024,242,-0.023826224055162926,0.06269081139252572,-0.3800592706637642,-5.9123347258615455,0.30578512396694213,-0.28239540230671545
momentum_60_skip_5,1,test_2025,243,-0.0005225078580027359,0.00928637907753686,-0.056266048762390934,-0.8771008967784815,0.4732510288065844,-0.021519595295825415
momentum_60_skip_5,1,train_2020_2023,970,-0.0004618415344631889,0.010646574328782946,-0.04337935566885615,-1.35104235436857,0.5061855670103093,0.01585118239343285
momentum_60_skip_5,1,validation_2024,242,-0.0014659331899854453,0.014163496555171098,-0.103500797580258,-1.610094548198766,0.47107438016528924,-0.034410142865321854
momentum_60_skip_5,5,test_2025,243,-0.0025729187279341834,0.018565588225554992,-0.13858536000451824,-2.1603319624174446,0.4691358024691358,-0.02766608602844426
momentum_60_skip_5,5,train_2020_2023,970,-0.0018234372804580143,0.0238322591236437,-0.07651130641866023,-2.382931096274799,0.4742268041237113,-0.029051643661285292
momentum_60_skip_5,5,validation_2024,242,-0.006368510912491485,0.033905388756924934,-0.18783182101667428,-2.921977395997182,0.4297520661157025,-0.11228764318193049
momentum_60_skip_5,20,test_2025,242,-0.00466836787724599,0.03398312080271406,-0.1373731360444433,-2.1370244730975356,0.4297520661157025,-0.1078017198777523
momentum_60_skip_5,20,train_2020_2023,970,-0.006468190167539801,0.04599806853782225,-0.1406187340718727,-4.379545583826793,0.42783505154639173,-0.07851572633239488
momentum_60_skip_5,20,validation_2024,242,-0.016693162604726933,0.06714263879620186,-0.24862237922158095,-3.867656546650892,0.3884297520661157,-0.17141533606308856
overnight_reversal_5,1,test_2025,243,1.1561745627874964e-05,0.005433732339629859,0.0021277723864960452,0.03316868892317909,0.4897119341563786,0.002108204815150753
overnight_reversal_5,1,train_2020_2023,970,-0.0003065549687499514,0.004457422054021264,-0.06877405034450189,-2.141955625302363,0.4845360824742268,-0.0412871476657498
overnight_reversal_5,1,validation_2024,242,0.0004038540064183542,0.006168862715628514,0.06546652519843078,1.0184201259876686,0.5247933884297521,0.021864144333585835
overnight_reversal_5,5,test_2025,243,-0.0005944418077923032,0.011398703346562266,-0.052149949842460006,-0.8129372646537837,0.49794238683127573,-0.03027579743294831
