factor,horizon,sample_period,dates,average_sample_size,mean_ic,std_ic,ic_ir,ic_t_stat,positive_ic_ratio,mean_rank_ic,std_rank_ic,rank_ic_ir,rank_ic_t_stat,positive_rank_ic_ratio
amount_change_5_20,1,train_2020_2023,970,2898.0113402061857,-0.010965261149263815,0.09458769331655875,-0.1159269326144378,-3.610523797765447,0.4381443298969072,-0.023833093091230672,0.1028147145758959,-0.2318062466986428,-7.219564524835046,0.388659793814433
amount_change_5_20,1,validation_2024,242,3045.285123966942,-0.019699006842292817,0.1006982837904997,-0.19562405734020366,-3.0431961451866485,0.43388429752066116,-0.029792902601205824,0.11360817332878559,-0.26224259864635124,-4.079537436013975,0.39669421487603307
amount_change_5_20,5,test_2025,243,3020.312757201646,-0.02996560166038331,0.08047570745745813,-0.372355864982287,-5.804453489810202,0.3662551440329218,-0.04927157481891364,0.09414774985759335,-0.5233430952246992,-8.158111476475826,0.2716049382716049
amount_change_5_20,5,train_2020_2023,970,2894.1546391752577,-0.015040908246641727,0.08504981064731992,-0.17684822731719618,-5.507906738505805,0.42061855670103093,-0.024055516001037787,0.09400171426628529,-0.2559050777828799,-7.9701183535760585,0.3845360824742268
amount_change_5_20,5,validation_2024,242,3042.5661157024792,-0.03733904881871018,0.10143522748278709,-0.36810731089498844,-5.726405866240202,0.3760330578512397,-0.0448875321380038,0.1139214644901371,-0.39402172662457297,-6.129539566283486,0.3760330578512397
amount_change_5_20,20,test_2025,242,3005.7644628099174,-0.03389562590648206,0.08042214021454613,-0.4214713238923637,-6.556555086399166,0.33884297520661155,-0.06237897459473578,0.09823483343020607,-0.6349985276765886,-9.878258829198966,0.25206611570247933
amount_change_5_20,20,train_2020_2023,970,2880.09587628866,-0.02136609646174753,0.07634505181203957,-0.27986223015933703,-8.716259624039719,0.3835051546391753,-0.03008297620605759,0.08505809726904245,-0.35367563079742814,-11.015164922295076,0.36082474226804123
amount_change_5_20,20,validation_2024,242,3032.095041322314,-0.05112487248095916,0.08135672412899611,-0.6284037739756768,-9.77566853783123,0.26859504132231404,-0.054585161626842696,0.09267190471486672,-0.5890152122673051,-9.162926317957393,0.2892561983471074
low_volatility_20,1,test_2025,243,3023.201646090535,0.005523762860309229,0.16633753916750485,0.03320815546481484,0.5176639124163483,0.5390946502057613,0.04739663127205341,0.20700713752049107,0.22896133843385832,3.569154040227738,0.5925925925925926
low_volatility_20,1,train_2020_2023,970,2896.6587628865977,0.015434330716181825,0.14260805625742762,0.1082290238099921,3.3707737905439332,0.5402061855670103,0.0546073522438957,0.15430979875214187,0.3538813003807234,11.02157046506428,0.6237113402061856
