factor,horizon,sample_period,factor_group,dates,average_assets,mean_group_return,std_group_return
momentum_60_skip_5,20,validation_2024,3,242,603.1115702479339,0.011372301330887732,0.09310353771594225
momentum_60_skip_5,20,validation_2024,4,242,602.4504132231405,0.008056179862715852,0.09715368877022623
momentum_60_skip_5,20,validation_2024,5,242,599.7851239669421,0.0018271707605026306,0.10685495306344099
overnight_reversal_5,1,test_2025,1,243,603.3374485596707,0.0012053734385910992,0.011985640266068014
overnight_reversal_5,1,test_2025,2,243,608.7283950617284,0.0018095199474814228,0.010308236674850625
overnight_reversal_5,1,test_2025,3,243,608.8106995884774,0.001641117791335069,0.010368298455407071
overnight_reversal_5,1,test_2025,4,243,608.6543209876543,0.0015818507988183443,0.011265764351104315
overnight_reversal_5,1,test_2025,5,243,607.156378600823,0.0012169351842189749,0.013576617384110987
overnight_reversal_5,1,train_2020_2023,1,970,580.2783505154639,0.0002828744141594689,0.012623315050672237
overnight_reversal_5,1,train_2020_2023,2,970,584.3443298969072,0.0006847560217566594,0.01196090773824942
overnight_reversal_5,1,train_2020_2023,3,970,584.3546391752577,0.0006432636251147313,0.01190425453936847
overnight_reversal_5,1,train_2020_2023,4,970,584.2865979381444,0.0005459360306354778,0.012307858424621669
overnight_reversal_5,1,train_2020_2023,5,970,583.2886597938144,-2.3680554590482757e-05,0.013494147862290263
overnight_reversal_5,1,validation_2024,1,242,604.5909090909091,-0.0005209354485833734,0.020350562026177618
overnight_reversal_5,1,validation_2024,2,242,612.4545454545455,0.00025634663664532794,0.018617779590631343
overnight_reversal_5,1,validation_2024,3,242,612.698347107438,0.000353019802002651,0.018419052229859994
overnight_reversal_5,1,validation_2024,4,242,612.8223140495868,0.0005317833370853017,0.01927551456629313
overnight_reversal_5,1,validation_2024,5,242,610.9958677685951,-0.00011708144216502142,0.02149950030259861
overnight_reversal_5,5,test_2025,1,243,602.4444444444445,0.007295575864669261,0.02480116944912261
overnight_reversal_5,5,test_2025,2,243,608.0864197530864,0.008735730027686059,0.02163554249035944
overnight_reversal_5,5,test_2025,3,243,608.238683127572,0.008134005295037125,0.021624563140788377
overnight_reversal_5,5,test_2025,4,243,608.0493827160494,0.008077643531221047,0.02336286209902862
overnight_reversal_5,5,test_2025,5,243,605.8971193415638,0.006701134056876959,0.028234579319543825
overnight_reversal_5,5,train_2020_2023,1,970,579.2422680412371,0.0017179417977867706,0.029532672454557745
overnight_reversal_5,5,train_2020_2023,2,970,583.5773195876288,0.0029844894775161853,0.02788175860109692
overnight_reversal_5,5,train_2020_2023,3,970,583.7917525773196,0.0029463974141216835,0.027744308355479544
overnight_reversal_5,5,train_2020_2023,4,970,583.6092783505154,0.00254815539234753,0.028713884140242913
overnight_reversal_5,5,train_2020_2023,5,970,582.261855670103,0.00018234602948530448,0.031601549171908445
overnight_reversal_5,5,validation_2024,1,242,604.1818181818181,-0.00032458386358503034,0.05141982096613732
overnight_reversal_5,5,validation_2024,2,242,611.9586776859504,0.0023496861785126002,0.046548447366402027
overnight_reversal_5,5,validation_2024,3,242,612.2851239669421,0.0026925146122958404,0.04563237263174937
overnight_reversal_5,5,validation_2024,4,242,612.3512396694215,0.0033329859448903935,0.04863055761438749
overnight_reversal_5,5,validation_2024,5,242,609.9214876033058,0.0007051775725400052,0.0576169163981499
overnight_reversal_5,20,test_2025,1,242,599.4173553719008,0.03158411609607859,0.045775925906669075
overnight_reversal_5,20,test_2025,2,242,605.6776859504132,0.03254510968319785,0.03901820273886618
overnight_reversal_5,20,test_2025,3,242,605.9504132231405,0.03125378912623442,0.037951480980651466
overnight_reversal_5,20,test_2025,4,242,605.3760330578513,0.03162601930408045,0.04394405556783074
overnight_reversal_5,20,test_2025,5,242,601.4504132231405,0.02752936375559814,0.053741196526852456
overnight_reversal_5,20,train_2020_2023,1,970,576.158762886598,0.007887381700996609,0.05184641975083565
overnight_reversal_5,20,train_2020_2023,2,970,580.979381443299,0.010435624841141623,0.0489120463231631
overnight_reversal_5,20,train_2020_2023,3,970,581.2989690721649,0.009880876135981646,0.048732294165492775
overnight_reversal_5,20,train_2020_2023,4,970,580.980412371134,0.008051599328997077,0.050027788761101866
overnight_reversal_5,20,train_2020_2023,5,970,578.4041237113402,-0.0003019696090053942,0.05353753049390985
overnight_reversal_5,20,validation_2024,1,242,602.202479338843,0.005956928043587079,0.10466753222365545
overnight_reversal_5,20,validation_2024,2,242,610.0785123966942,0.012951641083839623,0.08977760466774523
overnight_reversal_5,20,validation_2024,3,242,610.599173553719,0.013909838933151128,0.08882734158100482
overnight_reversal_5,20,validation_2024,4,242,610.6280991735537,0.014034201336903411,0.09334225740001191
overnight_reversal_5,20,validation_2024,5,242,606.5743801652893,0.0060737812498353715,0.11247429662693255
reversal_5,1,test_2025,1,243,601.448559670782,0.0005178380447467592,0.012129103800080563
reversal_5,1,test_2025,2,243,608.7901234567901,0.0016362039891099861,0.01073418450602938
