rebalance_date,formation_date,strategy,selected_assets,assets_with_sufficient_history,forecast_annual_volatility,target_equity_exposure,target_cash_weight,maximum_target_weight,erc_solver_success,erc_max_risk_contribution_error,history_last_date
2022-05-05,2022-04-29,monthly_vol_target_10,20,20,0.28426632651719747,0.3517827849157864,0.6482172150842136,0.017589139245789323,False,,2022-04-29
2022-05-05,2022-04-29,monthly_vol_target_15,20,20,0.28426632651719747,0.5276741773736797,0.4723258226263203,0.026383708868683988,False,,2022-04-29
2022-05-05,2022-04-29,monthly_vol_target_20,20,20,0.28426632651719747,0.7035655698315728,0.2964344301684272,0.035178278491578646,False,,2022-04-29
2022-05-05,2022-04-29,monthly_risk_parity_cap_08_vol_15,20,20,0.28008389795655597,0.5355538147475605,0.4644461852524395,0.03551446306940763,True,2.3370437040454162e-07,2022-04-29
2022-06-01,2022-05-31,monthly_equal,20,20,0.25280706139288894,1.0000000000000002,-2.220446049250313e-16,0.05,False,,2022-05-31
2022-06-01,2022-05-31,monthly_risk_parity,20,20,0.24279695769777787,1.0,0.0,0.07675595220553726,True,8.259648260483532e-08,2022-05-31
2022-06-01,2022-05-31,monthly_risk_parity_cap_08,20,20,0.24279695530976816,1.0,0.0,0.0767559744381081,True,8.688044745436274e-08,2022-05-31
2022-06-01,2022-05-31,monthly_vol_target_10,20,20,0.25280706139288894,0.3955585712243592,0.6044414287756408,0.01977792856121796,False,,2022-05-31
2022-06-01,2022-05-31,monthly_vol_target_15,20,20,0.25280706139288894,0.5933378568365386,0.4066621431634614,0.02966689284182694,False,,2022-05-31
2022-06-01,2022-05-31,monthly_vol_target_20,20,20,0.25280706139288894,0.7911171424487184,0.20888285755128155,0.03955585712243592,False,,2022-05-31
2022-06-01,2022-05-31,monthly_risk_parity_cap_08_vol_15,20,20,0.24279695530976816,0.6178001689050227,0.38219983109497735,0.047419853972332775,True,8.688044745436274e-08,2022-05-31
2022-07-01,2022-06-30,monthly_equal,20,20,0.23279644011689782,1.0000000000000002,-2.220446049250313e-16,0.05,False,,2022-06-30
2022-07-01,2022-06-30,monthly_risk_parity,20,20,0.21150236893410218,1.0,0.0,0.11891891153368277,True,2.3535735207969033e-07,2022-06-30
2022-07-01,2022-06-30,monthly_risk_parity_cap_08,20,20,0.21712812833506168,1.0,0.0,0.08000000000000002,True,0.030237858812140826,2022-06-30
2022-07-01,2022-06-30,monthly_vol_target_10,20,20,0.23279644011689782,0.42955983325941505,0.570440166740585,0.02147799166297075,False,,2022-06-30
2022-07-01,2022-06-30,monthly_vol_target_15,20,20,0.23279644011689782,0.6443397498891223,0.35566025011087765,0.03221698749445612,False,,2022-06-30
2022-07-01,2022-06-30,monthly_vol_target_20,20,20,0.23279644011689782,0.8591196665188301,0.1408803334811699,0.0429559833259415,False,,2022-06-30
2022-07-01,2022-06-30,monthly_risk_parity_cap_08_vol_15,20,20,0.21712812833506168,0.6908363331374884,0.3091636668625116,0.05526690665099908,True,0.030237858812140826,2022-06-30
2022-08-01,2022-07-29,monthly_equal,20,20,0.14583107140929713,1.0000000000000002,-2.220446049250313e-16,0.05,False,,2022-07-29
2022-08-01,2022-07-29,monthly_risk_parity,20,20,0.14209433034400998,1.0,0.0,0.07141929237473987,True,9.298523994533126e-08,2022-07-29
2022-08-01,2022-07-29,monthly_risk_parity_cap_08,20,20,0.14209433004991584,0.9999999999999999,1.1102230246251565e-16,0.07141929061241344,True,9.418800453464549e-08,2022-07-29
2022-08-01,2022-07-29,monthly_vol_target_10,20,20,0.14583107140929713,0.6857249215383927,0.3142750784616073,0.03428624607691963,False,,2022-07-29
2022-08-01,2022-07-29,monthly_vol_target_15,20,20,0.14583107140929713,1.0000000000000002,-2.220446049250313e-16,0.05,False,,2022-07-29
2022-08-01,2022-07-29,monthly_vol_target_20,20,20,0.14583107140929713,1.0000000000000002,-2.220446049250313e-16,0.05,False,,2022-07-29
2022-08-01,2022-07-29,monthly_risk_parity_cap_08_vol_15,20,20,0.14209433004991584,0.9999999999999999,1.1102230246251565e-16,0.07141929061241344,True,9.418800453464549e-08,2022-07-29
2022-09-01,2022-08-31,monthly_equal,20,20,0.17319369775498197,1.0000000000000002,-2.220446049250313e-16,0.05,False,,2022-08-31
2022-09-01,2022-08-31,monthly_risk_parity,20,20,0.16723621394728458,1.0,0.0,0.06910296735133187,True,1.140980591882168e-07,2022-08-31
2022-09-01,2022-08-31,monthly_risk_parity_cap_08,20,20,0.16723621394728458,1.0,0.0,0.06910296735133187,True,1.140980591882168e-07,2022-08-31
2022-09-01,2022-08-31,monthly_vol_target_10,20,20,0.17319369775498197,0.577388215023104,0.422611784976896,0.028869410751155195,False,,2022-08-31
2022-09-01,2022-08-31,monthly_vol_target_15,20,20,0.17319369775498197,0.8660823225346559,0.1339176774653441,0.043304116126732795,False,,2022-08-31
2022-09-01,2022-08-31,monthly_vol_target_20,20,20,0.17319369775498197,1.0000000000000002,-2.220446049250313e-16,0.05,False,,2022-08-31
2022-09-01,2022-08-31,monthly_risk_parity_cap_08_vol_15,20,20,0.16723621394728458,0.8969349189361719,0.10306508106382806,0.06198086441951579,True,1.140980591882168e-07,2022-08-31
2022-10-10,2022-09-30,monthly_equal,20,20,0.1914032554719116,1.0000000000000002,-2.220446049250313e-16,0.05,False,,2022-09-30
2022-10-10,2022-09-30,monthly_risk_parity,20,20,0.18371684576922542,1.0,0.0,0.08219050057937033,True,1.3412622496683513e-07,2022-09-30
2022-10-10,2022-09-30,monthly_risk_parity_cap_08,20,20,0.18387035332396712,1.0,0.0,0.08,True,0.0015409961197374936,2022-09-30
2022-10-10,2022-09-30,monthly_vol_target_10,20,20,0.1914032554719116,0.5224571533720597,0.47754284662794033,0.026122857668602978,False,,2022-09-30
2022-10-10,2022-09-30,monthly_vol_target_15,20,20,0.1914032554719116,0.7836857300580895,0.2163142699419105,0.03918428650290447,False,,2022-09-30
2022-10-10,2022-09-30,monthly_vol_target_20,20,20,0.1914032554719116,1.0000000000000002,-2.220446049250313e-16,0.05,False,,2022-09-30
2022-10-10,2022-09-30,monthly_risk_parity_cap_08_vol_15,20,20,0.18387035332396712,0.8157921997120992,0.18420780028790085,0.06526337597696792,True,0.0015409961197374936,2022-09-30
2022-11-01,2022-10-31,monthly_equal,20,20,0.17651051493641642,1.0000000000000002,-2.220446049250313e-16,0.05,False,,2022-10-31
2022-11-01,2022-10-31,monthly_risk_parity,20,20,0.1669619735377333,1.0,0.0,0.09803357157992099,True,8.804754848129592e-08,2022-10-31
2022-11-01,2022-10-31,monthly_risk_parity_cap_08,20,20,0.1685671712688711,1.0,0.0,0.08,True,0.010571948221944572,2022-10-31
2022-11-01,2022-10-31,monthly_vol_target_10,20,20,0.17651051493641642,0.5665384865939719,0.4334615134060281,0.02832692432969859,False,,2022-10-31
2022-11-01,2022-10-31,monthly_vol_target_15,20,20,0.17651051493641642,0.8498077298909574,0.15019227010904257,0.04249038649454788,False,,2022-10-31
2022-11-01,2022-10-31,monthly_vol_target_20,20,20,0.17651051493641642,1.0000000000000002,-2.220446049250313e-16,0.05,False,,2022-10-31
2022-11-01,2022-10-31,monthly_risk_parity_cap_08_vol_15,20,20,0.1685671712688711,0.8898529818759563,0.1101470181240437,0.07118823855007651,True,0.010571948221944572,2022-10-31
2022-12-01,2022-11-30,monthly_equal,20,20,0.19361012590766602,1.0000000000000002,-2.220446049250313e-16,0.05,False,,2022-11-30
2022-12-01,2022-11-30,monthly_risk_parity,20,20,0.18549673876191575,1.0,0.0,0.07656154565292334,True,1.791810231646651e-07,2022-11-30
2022-12-01,2022-11-30,monthly_risk_parity_cap_08,20,20,0.1854967393697355,0.9999999999999999,1.1102230246251565e-16,0.07656154387461833,True,1.8602515373944417e-07,2022-11-30
2022-12-01,2022-11-30,monthly_vol_target_10,20,20,0.19361012590766602,0.5165019108953561,0.48349808910464387,0.025825095544767807,False,,2022-11-30
2022-12-01,2022-11-30,monthly_vol_target_15,20,20,0.19361012590766602,0.7747528663430341,0.22524713365696591,0.03873764331715171,False,,2022-11-30
2022-12-01,2022-11-30,monthly_vol_target_20,20,20,0.19361012590766602,1.0000000000000002,-2.220446049250313e-16,0.05,False,,2022-11-30
2022-12-01,2022-11-30,monthly_risk_parity_cap_08_vol_15,20,20,0.1854967393697355,0.808639550806428,0.19136044919357198,0.06191069244781801,True,1.8602515373944417e-07,2022-11-30
2023-01-03,2022-12-30,monthly_equal,20,20,0.15791507288561915,1.0000000000000002,-2.220446049250313e-16,0.05,False,,2022-12-30
2023-01-03,2022-12-30,monthly_risk_parity,20,20,0.15324967602998105,1.0,0.0,0.0682183267472915,True,1.251104601932007e-07,2022-12-30
2023-01-03,2022-12-30,monthly_risk_parity_cap_08,20,20,0.15324967773326528,0.9999999999999999,1.1102230246251565e-16,0.06821853740522855,True,1.6424092534605972e-07,2022-12-30
