date,strategy,nav,daily_return,cash,holdings_count,is_rebalance,buy_amount,sell_amount,turnover,transaction_cost,delist_writeoff,blocked_buys,blocked_sells,cumulative_transaction_cost,cumulative_turnover,cash_ratio
2022-02-08,monthly_vol_target_15,1934474.1151006569,0.01761119819830026,353081.5481929633,32,False,0.0,0.0,0.0,0.0,0.0,0,0,47652.78684825186,40.73344781712882,0.1825206889235586
2022-02-09,monthly_vol_target_15,1951133.7438702472,0.008611967789873276,353081.5481929633,32,False,0.0,0.0,0.0,0.0,0.0,0,0,47652.78684825186,40.73344781712882,0.18096224787368737
2022-02-10,monthly_vol_target_15,1939390.077688308,-0.00601889348632989,353081.5481929633,32,False,0.0,0.0,0.0,0.0,0.0,0,0,47652.78684825186,40.73344781712882,0.18205803579949498
2022-02-11,monthly_vol_target_15,1912670.8600682432,-0.013777124018244491,353081.5481929633,32,False,0.0,0.0,0.0,0.0,0.0,0,0,47652.78684825186,40.73344781712882,0.18460131095444487
2022-02-14,monthly_vol_target_15,1927840.8496978693,0.007931312149067171,353081.5481929633,32,False,0.0,0.0,0.0,0.0,0.0,0,0,47652.78684825186,40.73344781712882,0.18314870143367806
2022-02-15,monthly_vol_target_15,1921329.533863271,-0.003377517306793698,353081.5481929633,32,False,0.0,0.0,0.0,0.0,0.0,0,0,47652.78684825186,40.73344781712882,0.18376938571438725
2022-02-16,monthly_vol_target_15,1948487.1208020742,0.014134788676358312,353081.5481929633,32,False,0.0,0.0,0.0,0.0,0.0,0,0,47652.78684825186,40.73344781712882,0.18120804824597506
2022-02-17,monthly_vol_target_15,1940354.9657113566,-0.004173573950732701,353081.5481929633,32,False,0.0,0.0,0.0,0.0,0.0,0,0,47652.78684825186,40.73344781712882,0.18196750307669582
2022-02-18,monthly_vol_target_15,1945884.952615442,0.0028499872455336472,353081.5481929633,32,False,0.0,0.0,0.0,0.0,0.0,0,0,47652.78684825186,40.73344781712882,0.18145037183127932
2022-02-21,monthly_vol_target_15,1970544.7935112668,0.012672815452259734,353081.5481929633,32,False,0.0,0.0,0.0,0.0,0.0,0,0,47652.78684825186,40.73344781712882,0.17917966105394423
2022-02-22,monthly_vol_target_15,1953701.7576750491,-0.008547400643557856,353081.5481929633,32,False,0.0,0.0,0.0,0.0,0.0,0,0,47652.78684825186,40.73344781712882,0.1807243847766911
2022-02-23,monthly_vol_target_15,1962767.5385360406,0.004640309517753627,353081.5481929633,32,False,0.0,0.0,0.0,0.0,0.0,0,0,47652.78684825186,40.73344781712882,0.17988964116265874
2022-02-24,monthly_vol_target_15,1919294.2400541352,-0.02214897975861707,353081.5481929633,32,False,0.0,0.0,0.0,0.0,0.0,0,0,47652.78684825186,40.73344781712882,0.1839642618752424
2022-02-25,monthly_vol_target_15,1925427.5928652717,0.003195629249094889,353081.5481929633,32,False,0.0,0.0,0.0,0.0,0.0,0,0,47652.78684825186,40.73344781712882,0.183378252966415
2022-02-28,monthly_vol_target_15,1915578.3042450189,-0.005115377309824365,353081.5481929633,32,False,0.0,0.0,0.0,0.0,0.0,0,0,47652.78684825186,40.73344781712882,0.1843211250673056
2022-03-01,monthly_vol_target_15,1932841.5319300208,0.009012018797010635,347573.4910911238,32,True,1342908.1205687742,1339544.343549719,1.3978426352911855,2144.280082785267,0.0,0,0,49797.06693103713,42.131290452420004,0.17982513586825585
2022-03-02,monthly_vol_target_15,1937829.9608082168,0.0025808783574796657,347573.4910911238,32,False,0.0,0.0,0.0,0.0,0.0,0,0,49797.06693103713,42.131290452420004,0.17936222378673525
2022-03-03,monthly_vol_target_15,1933446.8729989217,-0.002261853670312286,347573.4910911238,32,False,0.0,0.0,0.0,0.0,0.0,0,0,49797.06693103713,42.131290452420004,0.1797688345850492
2022-03-04,monthly_vol_target_15,1915556.970888129,-0.009252854247318476,347573.4910911238,32,False,0.0,0.0,0.0,0.0,0.0,0,0,49797.06693103713,42.131290452420004,0.18144774411484862
2022-03-07,monthly_vol_target_15,1895988.3209723486,-0.010215644960278936,347573.4910911238,32,False,0.0,0.0,0.0,0.0,0.0,0,0,49797.06693103713,42.131290452420004,0.18332048106333923
2022-03-08,monthly_vol_target_15,1839127.470600753,-0.029990084718683585,347573.4910911238,32,False,0.0,0.0,0.0,0.0,0.0,0,0,49797.06693103713,42.131290452420004,0.1889882548367289
2022-03-09,monthly_vol_target_15,1801695.4766026451,-0.020353126467020144,347573.4910911238,32,False,0.0,0.0,0.0,0.0,0.0,0,0,49797.06693103713,42.131290452420004,0.19291467154400774
2022-03-10,monthly_vol_target_15,1822268.1299193816,0.011418496401805367,347573.4910911238,32,False,0.0,0.0,0.0,0.0,0.0,0,0,49797.06693103713,42.131290452420004,0.190736744710835
2022-03-11,monthly_vol_target_15,1840566.4354450465,0.010041500054371433,347573.4910911238,32,False,0.0,0.0,0.0,0.0,0.0,0,0,49797.06693103713,42.131290452420004,0.18884050279178374
2022-03-14,monthly_vol_target_15,1811228.5593112935,-0.015939590969808792,347573.4910911238,32,False,0.0,0.0,0.0,0.0,0.0,0,0,49797.06693103713,42.131290452420004,0.19189929912726536
2022-03-15,monthly_vol_target_15,1734200.4541231603,-0.042528097733519954,347573.4910911238,32,False,0.0,0.0,0.0,0.0,0.0,0,0,49797.06693103713,42.131290452420004,0.20042290397557447
2022-03-16,monthly_vol_target_15,1762366.0374576915,0.01624125012051869,347573.4910911238,32,False,0.0,0.0,0.0,0.0,0.0,0,0,49797.06693103713,42.131290452420004,0.19721980774919912
2022-03-17,monthly_vol_target_15,1785110.7235244187,0.01290576735099691,347573.4910911238,32,False,0.0,0.0,0.0,0.0,0.0,0,0,49797.06693103713,42.131290452420004,0.19470696495783463
2022-03-18,monthly_vol_target_15,1816123.2006457124,0.017372859124427098,347573.4910911238,32,False,0.0,0.0,0.0,0.0,0.0,0,0,49797.06693103713,42.131290452420004,0.19138211051295748
