ts_code,trade_date,symbol,name,area,industry,market,exchange,list_status,list_date,delist_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor,reference_factor,open_adj,high_adj,low_adj,close_adj,limit_pre_close,up_limit,down_limit,is_suspended,is_st,is_research_universe,st_data_available,has_stock_metadata,is_listed_on_date,has_invalid_raw_price,has_invalid_adjusted_price,has_invalid_adj_factor,has_invalid_volume,has_invalid_amount,has_zero_volume,is_open_at_up_limit,is_open_at_down_limit,is_close_at_up_limit,is_close_at_down_limit,can_trade_at_open
000007.SZ,2025-03-07,000007,全新好,深圳,其他商业,主板,SZSE,L,1992-04-13,,6.43,6.46,6.34,6.37,6.43,-0.06,-0.9331,33996.6,21741.314,8.284,8.284,6.43,6.46,6.34,6.37,6.43,7.07,5.79,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000008.SZ,2025-03-07,000008,神州高铁,北京,运输设备,主板,SZSE,L,1992-05-07,,2.81,2.82,2.75,2.77,2.82,-0.05,-1.773,614449.0,171062.704,22.408,22.408,2.81,2.82,2.75,2.77,2.82,3.1,2.54,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000009.SZ,2025-03-07,000009,中国宝安,深圳,电气设备,主板,SZSE,L,1991-06-25,,8.7,8.7,8.55,8.58,8.7,-0.12,-1.3793,243059.76,209187.956,8.977,9.0053,8.672659433888931,8.672659433888931,8.523130822959814,8.553036545145636,8.7,9.57,7.83,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000010.SZ,2025-03-07,000010,*ST美丽,深圳,建筑工程,主板,SZSE,L,1995-10-27,,2.92,2.94,2.84,2.85,2.9,-0.05,-1.7241,174280.0,50248.953,10.775,10.775,2.92,2.94,2.84,2.85,2.9,3.19,2.61,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000011.SZ,2025-03-07,000011,深物业A,深圳,房产服务,主板,SZSE,L,1992-03-30,,8.3,8.32,8.16,8.19,8.34,-0.15,-1.7986,40618.0,33295.448,4.411,4.411,8.3,8.32,8.16,8.19,8.34,9.17,7.51,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000012.SZ,2025-03-07,000012,南玻A,深圳,玻璃,主板,SZSE,L,1992-02-28,,4.93,4.96,4.92,4.93,4.95,-0.02,-0.404,108047.68,53342.67,29.9276,30.3449,4.862203137924331,4.891790580954296,4.852340656914342,4.862203137924331,4.95,5.45,4.46,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000001.SZ,2025-03-10,000001,平安银行,深圳,银行,主板,SZSE,L,1991-04-03,,11.66,11.67,11.55,11.59,11.67,-0.08,-0.6855,663833.93,769261.385,127.7841,134.5794,11.071253148698837,11.080748220009898,10.966807364277148,11.004787649521399,11.67,12.84,10.5,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000002.SZ,2025-03-10,000002,万科A,深圳,全国地产,主板,SZSE,L,1991-01-29,,7.54,7.57,7.44,7.48,7.53,-0.05,-0.664,977809.93,732008.884,181.704,181.704,7.54,7.569999999999999,7.44,7.48,7.53,8.28,6.78,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000004.SZ,2025-03-10,000004,国华退,,,主板,SZSE,D,1990-12-01,2026-07-14,12.25,12.25,12.06,12.15,12.24,-0.09,-0.7353,49154.0,59655.045,4.064,4.064,12.25,12.25,12.06,12.15,12.24,13.46,11.02,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000006.SZ,2025-03-10,000006,深振业A,深圳,区域地产,主板,SZSE,L,1992-04-27,,6.39,6.45,6.33,6.44,6.44,0.0,0.0,241211.78,153629.132,39.74,39.74,6.39,6.45,6.33,6.44,6.44,7.08,5.8,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000007.SZ,2025-03-10,000007,全新好,深圳,其他商业,主板,SZSE,L,1992-04-13,,6.37,6.44,6.32,6.39,6.37,0.02,0.314,30057.6,19174.614,8.284,8.284,6.37,6.44,6.32,6.39,6.37,7.01,5.73,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000008.SZ,2025-03-10,000008,神州高铁,北京,运输设备,主板,SZSE,L,1992-05-07,,2.77,2.81,2.76,2.79,2.77,0.02,0.722,425628.0,118834.778,22.408,22.408,2.77,2.81,2.76,2.79,2.77,3.05,2.49,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000009.SZ,2025-03-10,000009,中国宝安,深圳,电气设备,主板,SZSE,L,1991-06-25,,8.58,8.64,8.5,8.54,8.58,-0.04,-0.4662,150034.79,128187.571,8.977,9.0053,8.553036545145636,8.612847989517286,8.473287952650107,8.51316224889787,8.58,9.44,7.72,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000010.SZ,2025-03-10,000010,*ST美丽,深圳,建筑工程,主板,SZSE,L,1995-10-27,,2.84,2.94,2.84,2.88,2.85,0.03,1.0526,161709.0,46799.318,10.775,10.775,2.84,2.94,2.84,2.88,2.85,3.14,2.57,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000011.SZ,2025-03-10,000011,深物业A,深圳,房产服务,主板,SZSE,L,1992-03-30,,8.19,8.28,8.17,8.22,8.19,0.03,0.3663,23218.0,19074.399,4.411,4.411,8.19,8.28,8.17,8.22,8.19,9.01,7.37,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000012.SZ,2025-03-10,000012,南玻A,深圳,玻璃,主板,SZSE,L,1992-02-28,,4.93,4.94,4.9,4.92,4.93,-0.01,-0.2028,92060.57,45236.183,29.9276,30.3449,4.862203137924331,4.872065618934319,4.832615694894366,4.852340656914342,4.93,5.42,4.44,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000001.SZ,2025-03-11,000001,平安银行,深圳,银行,主板,SZSE,L,1991-04-03,,11.54,11.61,11.52,11.61,11.59,0.02,0.1726,608975.27,704240.464,127.7841,134.5794,10.957312292966085,11.023777792143523,10.93832215034396,11.023777792143523,11.59,12.75,10.43,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000002.SZ,2025-03-11,000002,万科A,深圳,全国地产,主板,SZSE,L,1991-01-29,,7.4,7.45,7.35,7.43,7.48,-0.05,-0.6684,872393.37,645348.2,181.704,181.704,7.400000000000001,7.449999999999999,7.35,7.43,7.48,8.23,6.73,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000004.SZ,2025-03-11,000004,国华退,,,主板,SZSE,D,1990-12-01,2026-07-14,12.15,12.25,11.96,12.23,12.15,0.08,0.6584,48417.0,58634.649,4.064,4.064,12.15,12.25,11.96,12.23,12.15,13.37,10.94,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000006.SZ,2025-03-11,000006,深振业A,深圳,区域地产,主板,SZSE,L,1992-04-27,,6.48,7.0,6.35,6.75,6.44,0.31,4.8137,580681.84,385517.582,39.74,39.74,6.480000000000001,7.0,6.35,6.75,6.44,7.08,5.8,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000007.SZ,2025-03-11,000007,全新好,深圳,其他商业,主板,SZSE,L,1992-04-13,,6.34,6.37,6.27,6.35,6.39,-0.04,-0.626,32009.0,20200.684,8.284,8.284,6.34,6.37,6.27,6.35,6.39,7.03,5.75,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000008.SZ,2025-03-11,000008,神州高铁,北京,运输设备,主板,SZSE,L,1992-05-07,,2.76,2.81,2.73,2.81,2.79,0.02,0.7168,495743.3,137878.217,22.408,22.408,2.76,2.81,2.73,2.81,2.79,3.07,2.51,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000009.SZ,2025-03-11,000009,中国宝安,深圳,电气设备,主板,SZSE,L,1991-06-25,,8.46,8.61,8.39,8.6,8.54,0.06,0.7026,176668.57,150256.109,8.977,9.0053,8.433413656402342,8.58294226733146,8.363633637968752,8.57297369326952,8.54,9.39,7.69,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000010.SZ,2025-03-11,000010,*ST美丽,深圳,建筑工程,主板,SZSE,L,1995-10-27,,2.87,2.95,2.84,2.92,2.88,0.04,1.3889,166295.0,48211.085,10.775,10.775,2.87,2.95,2.84,2.92,2.88,3.17,2.59,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000011.SZ,2025-03-11,000011,深物业A,深圳,房产服务,主板,SZSE,L,1992-03-30,,8.18,8.46,8.13,8.37,8.22,0.15,1.8248,63809.0,53083.092,4.411,4.411,8.18,8.46,8.13,8.37,8.22,9.04,7.4,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000012.SZ,2025-03-11,000012,南玻A,深圳,玻璃,主板,SZSE,L,1992-02-28,,4.9,4.93,4.88,4.93,4.92,0.01,0.2033,89022.54,43649.476,29.9276,30.3449,4.832615694894366,4.862203137924331,4.812890732874388,4.862203137924331,4.92,5.41,4.43,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000001.SZ,2025-03-12,000001,平安银行,深圳,银行,主板,SZSE,L,1991-04-03,,11.6,11.87,11.56,11.85,11.61,0.24,2.0672,1877318.4,2210904.482,127.7841,134.5794,11.01428272083246,11.270649646231147,10.976302435588211,11.251659503609023,11.61,12.77,10.45,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000002.SZ,2025-03-12,000002,万科A,深圳,全国地产,主板,SZSE,L,1991-01-29,,7.43,7.48,7.4,7.44,7.43,0.01,0.1346,661168.15,491951.065,181.704,181.704,7.43,7.48,7.400000000000001,7.44,7.43,8.17,6.69,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
