date,window_days,rolling_return,rolling_annualized_volatility,rolling_sharpe
2021-02-10,63,-0.16087137006604713,0.18672435750462923,-3.510409571493991
2021-02-18,63,-0.12851731932431565,0.20052836792149825,-2.5329697065115644
2021-02-19,63,-0.10595069281633362,0.2138235365853629,-1.9047341696494418
2021-02-22,63,-0.08855421018750376,0.21800314604152962,-1.5251503111281257
2021-02-23,63,-0.10115228170983737,0.21780999678928795,-1.7717895097396785
2021-02-24,63,-0.10300018009505363,0.2177266748709585,-1.808798981100459
2021-02-25,63,-0.10504778774806767,0.21759765342913637,-1.8502751757567322
2021-02-26,63,-0.10966596046519406,0.21736700242660265,-1.9437363946785486
2021-03-01,63,-0.09712621451429215,0.2194612513830994,-1.678753998866416
2021-03-02,63,-0.09133621206340836,0.21912658893588868,-1.5697563373127985
2021-03-03,63,-0.08666749933119999,0.21964436121377712,-1.476046779445039
2021-03-04,63,-0.08391147087926143,0.21975650756632276,-1.4225862307503376
2021-03-05,63,-0.06760843378759229,0.22053743079162755,-1.109897616431073
2021-03-08,63,-0.08533434777302917,0.21893157860171658,-1.455990386286442
2021-03-09,63,-0.09443613570248699,0.219764699220723,-1.6242057854014678
2021-03-10,63,-0.11049712349963203,0.22062209978306696,-1.9281083662250564
2021-03-11,63,-0.10704146898089917,0.22122679126509856,-1.8550391494839757
2021-03-12,63,-0.09437703638484785,0.2211678565300483,-1.611389220986081
2021-03-15,63,-0.0959506611349964,0.22112573820315884,-1.6419038113727258
2021-03-16,63,-0.0632298501911216,0.22366745626798548,-1.0109675776311415
2021-03-17,63,-0.05841785819210954,0.22391605584629581,-0.9217839960425656
2021-03-18,63,-0.038350165459609786,0.22416717865785024,-0.5593934052569314
2021-03-19,63,-0.04430541180407621,0.22381728896376732,-0.66716422400138
2021-03-22,63,-0.039241878725673196,0.223853912253278,-0.5763944849111559
2021-03-23,63,-0.025067716426773412,0.2215082277691667,-0.3309812117140833
2021-03-24,63,-0.033520904929162265,0.22144766218776088,-0.482130695434312
2021-03-25,63,-0.03579592380305607,0.22158622720021748,-0.5225277109924411
2021-03-26,63,-0.028129896508708563,0.2221479430067187,-0.38377935389809475
2021-03-29,63,-0.007712807579465797,0.2171549599125015,-0.029963518789289142
2021-03-30,63,0.002211360475662838,0.21610357940517916,0.14574650957496216
