ts_code,name,start_date,end_date,ann_date,change_reason
000156.SZ,*ST嘉瑞,2007-02-14,2012-10-18,2007-02-14,其他
000403.SZ,*ST生化,2006-05-09,2006-10-08,2006-05-08,*ST
000403.SZ,S*ST生化,2006-10-09,2013-02-07,2006-09-28,其他
000403.SZ,*ST生化,2013-02-08,2014-11-06,2013-02-01,其他
000403.SZ,ST生化,2014-11-07,2018-11-21,2014-11-06,撤消*ST并实行ST
000408.SZ,*ST玉源,2006-05-09,2006-07-02,2006-05-08,*ST
000408.SZ,*ST玉源,2006-10-09,2007-10-30,2006-09-28,其他
000408.SZ,ST玉源,2007-10-31,2010-04-27,2007-10-30,撤消*ST并实行ST
000408.SZ,*ST玉源,2010-04-28,2011-01-17,2010-04-27,从ST变为*ST
000408.SZ,*ST金谷,2011-01-18,2011-05-25,2011-01-18,其他
000408.SZ,ST金谷源,2011-05-26,2012-11-27,2011-05-25,撤消*ST并实行ST
000408.SZ,*ST金源,2016-04-28,2017-05-22,2016-04-27,*ST
000408.SZ,*ST藏格,2020-05-06,2021-05-11,2020-04-30,*ST
000409.SZ,ST四通,2003-04-01,2003-05-11,2003-03-31,ST
000409.SZ,*ST四通,2003-05-12,2006-06-08,2003-04-30,从ST变为*ST
000409.SZ,ST四通,2006-06-09,2006-09-25,2006-06-08,撤消*ST并实行ST
000409.SZ,ST四通,2006-10-09,2006-10-11,2006-09-28,其他
000409.SZ,ST泰格,2006-10-12,2008-04-27,2006-08-01,其他
000409.SZ,*ST泰格,2008-04-28,2009-04-20,2008-04-25,从ST变为*ST
000409.SZ,ST泰格,2009-04-21,2010-01-06,2009-04-20,撤消*ST并实行ST
000409.SZ,ST泰复,2010-01-07,2011-05-02,2009-12-10,其他
000409.SZ,*ST泰复,2011-05-03,2012-05-22,2011-04-29,从ST变为*ST
000409.SZ,ST泰复,2012-05-23,2013-04-02,2012-05-22,撤消*ST并实行ST
000409.SZ,*ST地矿,2018-06-25,2019-09-25,2018-06-22,*ST
000409.SZ,ST地矿,2019-09-26,2021-04-11,2019-09-25,撤消*ST并实行ST
000410.SZ,*ST沈机,2017-05-03,2018-02-28,2017-04-29,*ST
000410.SZ,*ST沈机,2019-08-20,2021-06-23,2019-08-19,*ST
000410.SZ,ST沈机,2021-06-24,2022-04-18,2021-06-23,撤消*ST并实行ST
000410.SZ,*ST沈机,2022-04-19,2023-05-22,2022-04-16,从ST变为*ST
000411.SZ,ST凯地,2000-04-07,2001-04-26,2000-04-06,ST
000411.SZ,ST凯地,2002-06-25,2002-07-22,2002-05-30,撤销PT
000411.SZ,ST英特,2002-07-23,2005-05-12,2002-07-23,其他
